epoch,train_loss,val_loss,train_acc,val_acc
1,0.8900695678591728,0.8242344385385514,0.579375,0.64125
2,0.8513368692994118,0.7944420671463013,0.6090625,0.675
3,0.8079805306345225,0.8213242217898369,0.631875,0.64125
4,0.767418846487999,0.8120801760256291,0.6621875,0.66125
5,0.6863729019090533,0.7973240277171135,0.7046875,0.65875
6,0.6313791537284851,0.8048183454573155,0.7390625,0.65875
7,0.5749668251350522,0.956521981805563,0.7696875,0.66875
8,0.5338530047051608,0.8882678598165512,0.7871875,0.65625
